Adelaide,Albany,Albury,AliceSprings,Ballarat,Bendigo,Brisbane,Cairns,Canberra,Cobar,CoffsHarbour,Darwin,GoldCoast,Hobart,Launceston,Melbourne,Mildura,Moree,MountGambier,Newcastle,Nuriootpa,Penrith,Perth,Portland,Richmond,Sale,Sydney,Townsville,WaggaWagga,Wollongong
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.2,,,,,,,,,,,,,,,,,,15.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.6,,,
,,,,,,,,1.8,,,,,,,,,,,,,,,,,,18.8,,,
,,,,,,,,9.0,,,,,,,,,,,,,,,,,,77.4,,,
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.2,,,
,,,,,,,,16.2,,,,,,,,,,,,,,,,,,27.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,8.8,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,4.4,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,11.0,,,,,,,,,,,,,,,,,,14.4,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,1.8,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,6.6,,,,,,,,,,,,,,,,,,0.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,22.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.2,,,
,,,,,,,,10.4,,,,,,,,,,,,,,,,,,33.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,3.0,,,,,,,,,,,,,,,,,,17.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.4,,,
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,17.0,,,
,,,,,,,,6.4,,,,,,,,,,,,,,,,,,0.4,,,
,,,,,,,,19.8,,,,,,,,,,,,,,,,,,19.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,2.6,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,9.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,22.8,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,5.2,,,,,,,,,,,,,,,,,,11.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.8,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.8,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,21.8,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,10.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,15.6,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.4,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,7.2,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,1.8,,,,,,,,,,,,,,,,,,1.2,,,
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,3.8,,,,,,,,,,,,,,,,,,0.4,,,
,,,,,,,,5.2,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,1.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,22.0,,,
,,,,,,,,0.8,,,,,,,,,,,,,,,,,,4.0,,,
,,,,,,,,3.8,,,,,,,,,,,,,,,,,,9.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,46.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,12.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.6,,,
,,,,,,,,6.2,,,,,,,,,,,,,,,,,,1.6,,,
,,,,,,,,4.8,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,5.4,,,
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.4,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,4.8,,,,,,,,,,,,,,,,,,3.6,,,
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2.2,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,
5.0,,,,,,0.0,,2.0,,,0.0,,3.0,,2.0,,,,,,,0.0,,,,0.2,,,
0.8,,,,,,0.0,,0.2,,,0.0,,16.2,,0.6,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,3.0,,1.4,,,,,,,0.4,,,,0.0,,,
0.0,,,,,,0.8,,0.0,,,0.0,,1.0,,0.6,,,,,,,1.8,,,,1.2,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,1.8,,,,14.2,,,
,,,,,,16.2,,0.0,,,0.0,,0.0,,0.0,,,,,,,6.8,,,,0.0,,,
16.2,,,,,,0.0,,0.8,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
17.0,,,,,,24.2,,16.8,,,0.0,,8.4,,5.0,,,,,,,0.0,,,,0.2,,,
1.8,,,,,,3.8,,0.0,,,0.0,,0.4,,1.2,,,,,,,8.0,,,,0.0,,,
9.0,,,,,,0.2,,0.0,,,0.0,,0.6,,3.0,,,,,,,4.6,,,,1.8,,,
0.2,,,,,,0.0,,1.6,,,0.0,,2.6,,0.2,,,,,,,2.6,,,,0.0,,,
,,,,,,0.0,,0.2,,,0.0,,0.2,,0.0,,,,,,,4.4,,,,0.0,,,
,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.2,,,,0.0,,,
3.8,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
4.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.0,,,,,,,0.0,,,,0.0,,,
0.2,,,,,,5.4,,0.2,,,0.0,,0.8,,0.0,,,,,,,24.0,,,,0.0,,,
0.2,,,,,,2.8,,0.0,,,0.0,,0.2,,0.0,,,,,,,2.6,,,,0.0,,,
1.4,,,,,,0.0,,0.0,,,0.0,,0.0,,0.8,,,,,,,20.6,,,,0.0,,,
,,,,,,0.0,,1.2,,,0.0,,0.0,,1.6,,,,,,,15.2,,,,0.0,,,
,,,,,,0.0,,0.2,,,0.0,,0.0,,0.8,,,,,,,0.0,,,,0.0,,,
6.8,,,,,,0.0,,19.2,,,0.0,,3.2,,13.8,,,,,,,0.0,,,,2.8,,,
0.0,,,,,,0.0,,0.0,,,0.0,,5.2,,2.4,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.2,,0.0,,,0.0,,0.0,,0.8,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,12.6,,0.0,,,0.0,,0.0,,0.0,,,,,,,19.2,,,,7.0,,,
0.0,,,,,,22.4,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,8.8,,,
,,,,,,0.4,,0.2,,,0.0,,0.0,,0.0,,,,,,,12.6,,,,16.2,,,
1.6,,,,,,0.0,,0.0,,,0.0,,0.6,,8.2,,,,,,,4.0,,,,0.0,,,
0.0,,,,,,2.4,,1.4,,,0.0,,1.2,,1.6,,,,,,,5.4,,,,3.8,,,
0.0,,,,,,0.0,,0.0,,,0.0,,1.0,,0.0,,,,,,,11.6,,,,33.2,,,
3.4,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,30.6,,,,0.2,,,
0.8,,,,,,0.0,,0.0,,,0.0,,0.0,,0.4,,,,,,,3.0,,,,0.0,,,
1.8,,,,,,0.0,,1.0,,,0.0,,1.0,,0.4,,,,,,,7.8,,,,0.0,,,
,,,,,,0.0,,6.6,,,0.0,,0.0,,0.6,,,,,,,18.2,,,,0.0,,,
,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.2,,,,0.0,,,
8.2,,,,,,0.0,,0.0,,,0.0,,0.0,,0.2,,,,,,,0.0,,,,0.0,,,
16.2,,,,,,0.0,,0.0,,,0.0,,0.0,,0.2,,,,,,,0.0,,,,0.0,,,
1.2,,,,,,0.2,,4.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
11.2,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.8,,,
0.8,,,,,,0.0,,1.2,,,0.0,,0.0,,0.4,,,,,,,0.0,,,,4.6,,,
,,,,,,0.0,,0.0,,,0.0,,0.4,,1.8,,,,,,,0.0,,,,0.0,,,
,,,,,,0.0,,0.4,,,0.0,,0.0,,4.8,,,,,,,0.0,,,,0.0,,,
22.0,,,,,,0.0,,0.4,,,0.0,,0.0,,11.4,,,,,,,0.0,,,,0.4,,,
0.8,,,,,,0.0,,0.0,,,0.0,,0.4,,0.6,,,,,,,0.0,,,,0.0,,,
2.2,,,,,,0.0,,0.0,,,0.0,,3.0,,1.6,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,15.0,,0.2,,,,,,,0.0,,,,0.0,,,
1.6,,,,,,0.0,,0.0,,,0.0,,1.8,,0.2,,,,,,,0.0,,,,0.0,,,
,,,,,,0.0,,0.0,,,0.0,,5.6,,2.2,,,,,,,0.0,,,,0.0,,,
6.2,,,,,,0.0,,0.0,,,0.0,,3.2,,4.2,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,1.0,,0.4,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.6,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.0,,,,,,,0.2,,,,0.0,,,
1.4,,,,,,0.0,,0.0,,,0.0,,0.2,,0.0,,,,,,,0.0,,,,0.0,,,
2.0,,,,,,0.0,,0.0,,,0.0,,5.2,,14.0,,,,,,,0.0,,,,2.6,,,
0.8,,,,,,10.0,,0.0,,,0.0,,0.0,,0.6,,,,,,,0.0,,,,20.8,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.2,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.2,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,2.4,,,
0.0,,,,,,5.0,,0.0,,,0.0,,0.0,,0.4,,,,,,,1.2,,,,0.0,,,
,,,,,,0.4,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.2,,,,0.0,,,
8.4,,,,,,0.0,,4.0,,,0.0,,1.0,,0.4,,,,,,,0.0,,,,12.0,,,
0.8,,,,,,1.6,,7.4,,,0.0,,0.0,,0.8,,,,,,,3.4,,,,0.2,,,
1.0,,,,,,0.0,,0.0,,,0.0,,1.6,,0.8,,,,,,,0.2,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.4,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,6.0,,0.2,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.4,,,
0.0,,,,,,41.6,,0.0,,,0.0,,0.0,,0.0,,,,,,,1.2,,,,1.6,,,
0.0,,,,,,3.8,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,62.2,,,
,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,21.6,,,
1.0,,,,,,0.0,,1.0,,,0.0,,0.4,,0.2,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.2,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
1.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.0,,,,,,,0.8,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.0,,,,,,,0.4,,,,0.0,,,
0.0,,,,,,0.4,,0.0,,,0.0,,2.2,,0.0,,,,,,,6.0,,,,0.0,,,
,,,,,,0.2,,9.8,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,3.6,,,
2.8,,,,,,1.0,,1.6,,,0.0,,0.4,,0.0,,,,,,,1.2,,,,4.0,,,
0.4,,,,,,0.0,,3.4,,,0.0,,1.4,,2.0,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.2,,0.0,,,,,,,8.2,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,1.8,,,,0.0,,,
0.0,,,,,,0.4,,0.0,,,0.0,,0.0,,0.0,,,,,,,4.0,,,,0.0,,,
1.6,,,,,,0.2,,0.0,,,0.0,,0.0,,0.2,,,,,,,0.2,,,,0.0,,,
0.0,,,,,,0.4,,0.0,,,0.0,,10.8,,0.4,,,,,,,3.4,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,5.4,,,,0.0,,,
6.2,,,,,,0.0,,17.4,,,0.0,,1.2,,6.4,,,,,,,0.0,,,,2.6,,,
0.0,,,,,,0.0,,0.0,,,5.2,,0.2,,0.0,,,,,,,0.0,,,,2.2,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,21.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,14.2,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,3.0,,0.0,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.2,,,,0.0,,,
1.2,,,,,,0.0,,0.0,,,0.0,,2.2,,0.6,,,,,,,0.0,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.8,,0.0,,,,,,,4.2,,,,0.8,,,
0.0,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.6,,,,0.0,,,
0.0,,,,,,0.0,,0.0,,,0.0,,1.2,,0.0,,,,,,,5.0,,,,0.0,,,
0.4,,,,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,
,,,,,,0.0,,7.6,,,0.0,,2.0,,4.4,,,,,,,0.4,,,,9.6,,,
,,,,,,0.0,,3.0,,,0.0,,0.0,,0.0,,,,,,,0.4,,,,3.4,,,
